Models,Id,No_features,ROC,ROC_AUC,F1,Recall,Accuracy,Brier,Importance_type,Best_features
XGB DEEP 5,model_56,10,0.72,0.87,59.0,50.0,85.0,15.0,cover,"Humidity9am,Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DEEP 5,model_5,9,0.72,0.87,59.0,50.0,84.0,16.0,total_gain,"Evaporation,Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DEEP 5,model_31,9,0.72,0.87,59.0,50.0,85.0,15.0,weight,"WindSpeed9am,WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DEEP 5,model_57,9,0.72,0.87,59.0,50.0,84.0,16.0,cover,"Pressure9am,MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DEEP 5,model_6,8,0.72,0.87,59.0,50.0,84.0,16.0,total_gain,"Cloud3pm,Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DEEP 5,model_19,8,0.72,0.87,59.0,50.0,85.0,15.0,total_cover,"Rainfall,Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DEEP 5,model_45,8,0.72,0.87,59.0,50.0,84.0,16.0,gain,"month_sin,MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DEEP 5,model_32,8,0.72,0.86,59.0,50.0,85.0,15.0,weight,"WindSpeed3pm,Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DEEP 5,model_7,7,0.72,0.86,59.0,49.0,84.0,16.0,total_gain,"Humidity9am,Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DEEP 5,model_20,7,0.72,0.86,59.0,49.0,84.0,16.0,total_cover,"Humidity9am,Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DEEP 5,model_33,7,0.72,0.86,59.0,49.0,84.0,16.0,weight,"Evaporation,WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DEEP 5,model_46,7,0.72,0.86,59.0,50.0,84.0,16.0,gain,"MaxTemp,Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DEEP 5,model_58,8,0.72,0.86,58.0,49.0,84.0,16.0,cover,"MaxTemp,Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DEEP 5,model_8,6,0.72,0.86,58.0,49.0,84.0,16.0,total_gain,"Rainfall,MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DEEP 5,model_34,6,0.71,0.86,58.0,48.0,84.0,16.0,weight,"WindGustSpeed,Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DEEP 5,model_47,6,0.72,0.86,58.0,49.0,84.0,16.0,gain,"Pressure9am,Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DEEP 5,model_59,7,0.71,0.85,58.0,48.0,84.0,16.0,cover,"Cloud3pm,Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DEEP 5,model_21,6,0.71,0.86,57.0,48.0,84.0,16.0,total_cover,"Evaporation,WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DEEP 5,model_9,5,0.71,0.86,57.0,47.0,84.0,16.0,total_gain,"MaxTemp,Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DEEP 5,model_22,5,0.71,0.86,57.0,47.0,84.0,16.0,total_cover,"WindGustSpeed,MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DEEP 5,model_60,6,0.71,0.85,57.0,47.0,84.0,16.0,cover,"Rainfall,Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DEEP 5,model_48,5,0.71,0.85,57.0,48.0,84.0,16.0,gain,"Cloud3pm,Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DEEP 5,model_10,4,0.7,0.85,56.0,46.0,84.0,16.0,total_gain,"Sunshine,WindGustSpeed,Pressure9am,Humidity3pm"
XGB DEEP 5,model_49,4,0.71,0.85,56.0,47.0,84.0,16.0,gain,"Rainfall,Sunshine,WindGustSpeed,Humidity3pm"
XGB DEEP 5,model_35,5,0.7,0.85,55.0,45.0,84.0,16.0,weight,"Sunshine,Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DEEP 5,model_61,5,0.7,0.85,55.0,45.0,84.0,16.0,cover,"Evaporation,Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DEEP 5,model_62,4,0.7,0.85,55.0,45.0,84.0,16.0,cover,"Cloud9am,WindGustSpeed,Humidity3pm,Sunshine"
XGB DEEP 5,model_50,3,0.7,0.84,55.0,45.0,84.0,16.0,gain,"Sunshine,WindGustSpeed,Humidity3pm"
XGB DEEP 5,model_63,3,0.7,0.84,55.0,45.0,84.0,16.0,cover,"WindGustSpeed,Humidity3pm,Sunshine"
XGB DEEP 5,model_23,4,0.69,0.84,54.0,44.0,83.0,17.0,total_cover,"MaxTemp,Sunshine,Pressure9am,Humidity3pm"
XGB DEEP 5,model_11,3,0.69,0.84,54.0,44.0,83.0,17.0,total_gain,"WindGustSpeed,Pressure9am,Humidity3pm"
XGB DEEP 5,model_24,3,0.69,0.84,53.0,43.0,83.0,17.0,total_cover,"Sunshine,Pressure9am,Humidity3pm"
XGB DEEP 5,model_36,4,0.69,0.83,53.0,43.0,83.0,17.0,weight,"Humidity9am,Humidity3pm,MaxTemp,Pressure9am"
XGB DEEP 5,model_51,2,0.69,0.83,53.0,42.0,83.0,17.0,gain,"WindGustSpeed,Humidity3pm"
XGB DEEP 5,model_37,3,0.68,0.83,52.0,42.0,83.0,17.0,weight,"Humidity3pm,MaxTemp,Pressure9am"
XGB DEEP 5,model_12,2,0.68,0.82,51.0,40.0,83.0,17.0,total_gain,"Pressure9am,Humidity3pm"
XGB DEEP 5,model_25,2,0.68,0.82,51.0,40.0,83.0,17.0,total_cover,"Pressure9am,Humidity3pm"
XGB DEEP 5,model_64,2,0.66,0.81,48.0,36.0,82.0,18.0,cover,"Humidity3pm,Sunshine"
XGB DEEP 5,model_13,1,0.65,0.79,46.0,33.0,82.0,18.0,total_gain,Humidity3pm
XGB DEEP 5,model_26,1,0.65,0.79,46.0,33.0,82.0,18.0,total_cover,Humidity3pm
XGB DEEP 5,model_52,1,0.65,0.79,46.0,33.0,82.0,18.0,gain,Humidity3pm
XGB DEEP 5,model_38,2,0.57,0.71,26.0,17.0,78.0,22.0,weight,"MaxTemp,Pressure9am"
XGB DEEP 5,model_65,1,0.56,0.7,24.0,15.0,79.0,21.0,cover,Sunshine
XGB DEEP 5,model_39,1,0.54,0.65,19.0,12.0,78.0,22.0,weight,Pressure9am
